,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Emotion
13,Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0,-6.181,1,0.119,0.0,0.42,0.464,90.03,198082,4,3
14,Farruko,Pepas,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4,3
15,Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.0,0.0486,0.546,87.981,143901,4,3
16,Coldplay,My Universe,My Universe,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.0,0.2,0.443,104.988,228000,4,3
17,George Ezra,Gold Rush Kid,Green Green Grass,4N5s8lPTsjI9EGP7K4SXzB,0.685,0.738,8,-4.413,1,0.0595,0.0,0.128,0.8,112.972,167614,4,3
18,Lizzo,About Damn Time,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0,0.335,0.722,108.966,191822,4,3
19,Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,8.15e-05,0.0344,0.928,114.988,269667,4,3
20,Marshmello,Numb,Numb,10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.0127,0.101,0.632,119.966,155589,4,3
21,BTS,BE,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,3
22,Harry Styles,Harry's House,Music For a Sushi Restaurant,5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.0568,0.107,0.357,107.041,193813,4,3
23,Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.0,0.333,0.956,94.996,206071,4,3
24,David Guetta,Crazy What Love Can Do,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0,0.158,0.464,122.872,169756,4,3
25,Anne-Marie,Speak Your Mind (Deluxe),2002,2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,1,-2.881,0,0.117,0.0,0.137,0.603,96.133,186987,4,3
26,Elton John,Hold Me Closer,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,0.667,0.75,0,-4.602,1,0.0906,0.000198,0.197,0.486,126.041,202246,4,3
27,OneRepublic,Sunshine,Sunshine,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,1,0.034,0.0,0.28,0.774,140.069,163855,4,3
28,Ava Max,Heaven & Hell,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.0,0.124,0.457,129.857,162399,4,3
29,Lil Nas X,MONTERO,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.0,0.405,0.71,178.781,137704,4,3
30,Pharrell Williams,G I R L,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,0.647,0.822,5,-4.662,0,0.183,0.0,0.0908,0.962,160.019,232720,4,3
31,Jonas Brothers,Happiness Begins,Sucker,22vgEDb5hykfaTwLuskFGD,0.842,0.734,1,-5.065,0,0.0588,0.0,0.106,0.952,137.958,181027,4,3
32,Lizzo,Special,2 Be Loved (Am I Ready),2rmwqU7yzTvzkiaRV53DpT,0.721,0.769,7,-4.111,1,0.105,0.0,0.0817,0.915,155.932,187108,4,3
33,Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,1,0.126,0.000132,0.303,0.801,122.98,169153,4,3
34,George Ezra,Wanted on Voyage (Expanded Edition),Budapest,2ixsaeFioXJmMgkkbd4uj1,0.717,0.455,5,-8.303,1,0.0276,0.0,0.11,0.389,127.812,200733,4,3
35,Alessandra,Queen of Kings,Queen of Kings,14LdhxElpZS0rKVV4nxtdA,0.563,0.908,4,-4.25,0,0.0868,0.0,0.328,0.171,125.972,147980,4,3
36,Jax Jones,Where Did You Go (feat. MNEK),Where Did You Go? (feat. MNEK),3sa06xVNmLLYIxdNNmVQN8,0.763,0.782,7,-4.541,0,0.0346,7.08e-06,0.293,0.502,127.034,177689,4,3
37,Lizzo,Special (feat. SZA),Special (feat. SZA),0rc1HCVoReqzzXF9jssqZk,0.464,0.724,7,-5.019,1,0.0705,0.0,0.679,0.303,82.526,174749,4,3
38,Ed Sheeran,÷ (Deluxe),Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,1.14e-05,0.14,0.471,135.007,261154,4,3
39,Doja Cat,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.000158,0.123,0.742,110.968,208867,4,3
40,Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4,3
41,BTS,Proof,Butter,6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0.0,0.0788,0.695,109.997,164952,4,3
42,Tiësto,Hot In It,Hot In It,3Z7CaxQkqbIs1rewKi6v4W,0.748,0.841,7,-5.08,1,0.177,1.33e-06,0.0413,0.717,123.045,129817,4,3
43,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,2.54e-06,0.0921,0.699,110.054,160657,4,3
44,Majestic,Rasputin,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0,0.113,6.92e-05,0.193,0.658,128.04,186210,4,3
45,Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.00747,0.0374,0.796,123.97,162604,4,3
46,Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.000127,0.103,0.494,123.988,184104,4,3
47,American Authors,"Oh, What A Life",Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,0.673,0.902,2,-2.392,1,0.0346,0.000262,0.0558,0.538,100.012,194240,4,3
48,P!nk,Never Gonna Not Dance Again,Never Gonna Not Dance Again,6sZo5nJIsFWXefRCCexpx0,0.668,0.802,5,-4.005,0,0.0917,0.0,0.163,0.769,113.796,225789,4,3
49,Taylor Swift,Lover,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,1,0.0553,0.0,0.0637,0.714,85.026,171360,4,3
50,Jason Derulo,Acapulco,Acapulco,3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10,-4.021,1,0.0523,0.0,0.155,0.507,122.062,139672,4,3
51,Dua Lipa,Don't Start Now,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0,0.0952,0.677,123.941,183290,4,3
52,Becky Hill,Remember,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.0,0.0907,0.354,123.849,160766,4,3
53,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.0,0.0608,0.479,124.111,183726,4,3
54,Ava Max,Heaven & Hell,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0,0.07,0.0,0.121,0.436,116.001,174760,4,3
55,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4,3
56,Jonas Brothers,Wings,Wings,4l61TlfmTwxt7PdzEe28rz,0.371,0.714,5,-5.455,0,0.145,0.0,0.12,0.325,181.367,118994,3,3
57,Ed Sheeran,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,6,-5.041,1,0.0442,0.0,0.0894,0.842,101.956,219947,4,3
58,Taylor Swift,Lover,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,0.61,0.83,0,-4.105,1,0.0571,0.0,0.118,0.728,182.162,193000,4,3
59,Mac Miller,"I Love Life, Thank You",Love Lost,0N9C80kcgL0xXGduKnYKWi,0.735,0.812,2,-4.417,1,0.151,0.0,0.186,0.584,109.835,162876,4,3
60,Becky G,Shower,Shower,3DmW6y7wTEYHJZlLo1r6XJ,0.699,0.529,2,-7.548,1,0.0487,3.59e-05,0.285,0.121,119.987,206167,4,3
61,Jax Jones,Whistle (feat. Calum Scott),Whistle (feat. Calum Scott),4q05KbxYZ5JdkmrletgPjF,0.701,0.88,10,-4.56,0,0.0358,7.33e-06,0.0649,0.623,124.039,181958,4,3
62,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0,0.0876,0.753,112.985,190306,4,3
63,Yung Gravy,Betty (Get Money),Betty (Get Money),4cacyP5c3PMlfnyjpg13xW,0.723,0.772,1,-6.784,1,0.0792,1.15e-05,0.367,0.58,102.004,146471,4,3
64,Tones And I,Welcome To The Madhouse (Deluxe),Dance Monkey,2N8m6CYs74qQO4mjVcXO30,0.824,0.587,6,-6.401,0,0.0937,0.000105,0.149,0.514,98.029,209438,4,3
65,Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh,0.568,0.824,9,-4.613,1,0.0299,0.0,0.0855,0.753,108.625,174760,4,3
66,Latto,Lottery (feat. LU KALA),Lottery (feat. LU KALA),1JUtrCqYzJ80tcAzMbCvir,0.792,0.874,1,-2.966,1,0.0852,0.000365,0.071,0.934,113.969,186762,4,3
67,Kygo,Higher Love,Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,8,-7.159,1,0.0324,5.71e-06,0.101,0.404,103.952,228267,4,3
68,Megan Thee Stallion,Sweetest Pie,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.0,0.101,0.677,123.977,201334,4,3
69,Hot Shade,Dive,Dive,2aXC0fD6qziwlOZZqhCqTd,0.654,0.787,4,-4.999,1,0.0502,0.0,0.144,0.409,123.979,164490,4,3
70,Cat Burns,people pleaser / sleep at night,people pleaser,3UEOT0hD60yGB1OMWJxLQ8,0.692,0.758,3,-3.453,0,0.0522,0.0,0.0774,0.701,94.058,146654,4,3
71,Dominic Fike,"Don't Forget About Me, Demos",3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.594,0,0.0897,0.0,0.104,0.877,151.891,177667,4,3
72,Jonas Blue,Don’t Wake Me Up,Don’t Wake Me Up,3LEgGAl9zLcQWGTp7ptqtQ,0.621,0.747,11,-5.084,1,0.0337,0.000194,0.147,0.426,124.015,188894,4,3
73,Walker Hayes,Country Stuff The Album,Fancy Like,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.0,0.315,0.855,79.994,161853,4,3
74,Ritt Momney,Put Your Records On,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.00089,0.11,0.151,91.066,210463,4,3
75,Kygo,Woke Up in Love,Woke Up in Love,21H0pUV2uPIPcFnFhgTBjo,0.643,0.585,2,-5.994,1,0.0369,0.0,0.0927,0.188,106.015,216873,4,3
76,George Ezra,Gold Rush Kid,Anyone For You (Tiger Lily),44JSreJxvgl3CxLo5MoQL0,0.662,0.807,10,-3.285,1,0.0411,3.55e-06,0.189,0.772,103.031,187682,4,3
77,Tai Verdes,TV,AOK,1sx0XsWUusUoPstbvokZjP,0.731,0.626,11,-6.919,1,0.0805,0.0,0.183,0.862,82.488,173640,4,3
78,OneRepublic,Run,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0,0.0381,0.0,0.148,0.673,117.003,169011,4,3
79,Nicky Youre,Eyes On You,Eyes On You,6qItx3M2IZbXBKRnptbnHM,0.729,0.786,10,-4.357,1,0.0389,0.0,0.265,0.729,131.906,177372,4,3
80,Jubël,Dancing In The Moonlight (feat. NEIMY),Dancing In The Moonlight (feat. NEIMY),4GSDkZt7GcmzBWmsMcpaVO,0.659,0.615,11,-5.865,0,0.0644,0.0,0.187,0.193,119.843,164010,4,3
81,Ed Sheeran,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,0.64,0.648,5,-8.113,0,0.187,0.0,0.0802,0.548,92.977,197867,4,3
82,Taylor Swift,Lover,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,0.664,0.316,5,-10.345,1,0.519,2.03e-06,0.0812,0.541,92.875,170640,4,3
83,Justin Bieber,Anyone,Anyone,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,1,0.0345,3.13e-06,0.113,0.584,115.884,190779,4,3
84,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.339,1,0.0385,0.0,0.0914,0.803,96.051,164640,4,3
85,Trolls,TROLLS (Original Motion Picture Soundtrack),"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.721,1,0.0682,0.0,0.0968,0.7,113.035,237547,4,3
86,P!nk,Cover Me In Sunshine,Cover Me In Sunshine,6Tio0ZoDeSQnI7EBAqWer2,0.476,0.594,5,-6.879,1,0.135,0.0,0.0785,0.314,159.702,141050,4,3
87,The Chainsmokers,Sick Boy,This Feeling,4NBTZtAt1F13VvlSKe6KTl,0.575,0.571,1,-7.906,1,0.0439,0.0,0.0912,0.449,105.049,197947,4,3
88,Kygo,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.0,0.392,0.523,105.949,215203,4,3
89,Calvin Harris,Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),7fYRg3CEbk6rNCuzNzMT06,0.824,0.697,11,-4.869,0,0.0473,4.11e-05,0.077,0.757,99.988,214460,4,3
90,Ed Sheeran,=,2step,2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,4,-5.592,0,0.056,0.0,0.117,0.632,95.002,153627,4,3
91,Anne-Marie,SAD B!TCH,SAD B!TCH,4nfyxpiejEPrUHLnejED7i,0.544,0.692,0,-3.207,0,0.155,0.0,0.131,0.618,193.954,132794,4,3
92,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.0,0.323,0.646,123.056,182200,4,3
93,Camilo,KESI (Remix),KESI - Remix,0IqCoZ168iRc9LqfrYgpZy,0.871,0.815,4,-4.439,1,0.0477,6.18e-06,0.094,0.823,122.959,176575,4,3
94,Coldplay,Higher Power,Higher Power,0939D7aT18uBDS2MTjWzct,0.507,0.828,10,-6.023,1,0.0449,2.44e-05,0.261,0.489,178.032,211295,4,3
95,The Chainsmokers,World War Joy,Call You Mine,2oejEp50ZzPuQTQ6v54Evp,0.585,0.696,4,-5.6,0,0.0307,0.0,0.344,0.522,104.01,217640,4,3
96,Master KG,Jerusalema,Jerusalema (feat. Nomcebo Zikode),2MlOUXmcofMackX3bxfSwi,0.88,0.483,1,-7.012,1,0.0505,8.68e-06,0.0607,0.827,124.009,342613,4,3
97,Nathan Evans,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0,-3.255,0,0.0475,0.000937,0.0673,0.439,119.932,116750,4,3
98,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,-7.206,1,0.0629,1.03e-06,0.0773,0.324,113.039,180645,4,3
99,Sam Feldt,Follow Me,Follow Me,2Xy1UIVfOlukyye6Fd0wrI,0.673,0.729,6,-4.879,1,0.0496,0.0,0.1,0.675,122.023,169672,4,3
0,Maddie Zahm,Fat Funny Friend (sadder),Fat Funny Friend (sadder),3J2k478GV4E9GbFzN7ndgv,0.547,0.222,0,-8.709,1,0.0458,9.31e-05,0.101,0.528,106.28,202320,4,4
1,Seafret,Tell Me It's Real (Expanded Edition),Atlantis,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,2.14e-06,0.115,0.213,166.159,229173,4,4
2,Gracie Abrams,minor,"I miss you, I’m sorry",4nyF5lmSziBAt7ESAUjpbx,0.445,0.455,7,-6.405,1,0.0575,1.47e-06,0.124,0.151,109.885,167538,5,4
3,Benson Boone,In The Stars,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.0,0.139,0.3,78.007,216410,3,4
4,Dean Lewis,How Do I Say Goodbye,How Do I Say Goodbye,5hnGrTBaEsdukpDF6aZg8a,0.4,0.641,8,-6.303,1,0.0674,0.0,0.0656,0.393,81.552,163603,4,4
5,Becky Hill,Remember (Acoustic),Remember - Acoustic,5aXfGM7WVcqyAvqnL7k0y3,0.62,0.379,3,-8.675,1,0.0412,0.0,0.195,0.509,118.899,178627,4,4
6,Lauren Spencer Smith,Best Friend Breakup,Best Friend Breakup,5rKMN0bKdqcGWo1iLvv30Y,0.467,0.573,5,-5.009,0,0.23,1.09e-06,0.102,0.56,88.675,141061,3,4
7,James Arthur,YOU,Car's Outside,0otRX6Z89qKkHkQ9OqJpKt,0.338,0.562,9,-7.181,1,0.029,0.0,0.107,0.259,149.907,248373,4,4
8,Cat Burns,go,go,4VtRHZ4tBDHaWltVAytlLY,0.663,0.251,6,-9.87,0,0.0435,0.0,0.0932,0.528,90.272,215000,4,4
9,P!nk,TRUSTFALL,When I Get There,24dotUzOINUEH3iTUlhDXX,0.562,0.403,1,-5.441,1,0.0361,0.0,0.094,0.548,82.518,200173,4,4
10,Mimi Webb,Amelia,Last Train To London,7djOJmSvxXtq0Q49iC9qsX,0.554,0.326,9,-7.085,1,0.0299,0.0,0.0876,0.278,71.267,227925,4,4
11,Reneé Rapp,Everything To Everyone,In The Kitchen,2VFetGqLYq0Pc8ZtRYCaeL,0.364,0.294,0,-6.578,0,0.0504,0.0,0.264,0.125,79.477,227749,3,4
12,Chance Peña,In My Room,In My Room,7CiDwKE62N6ey3LyG6s7xc,0.408,0.338,4,-13.626,1,0.0431,0.000639,0.0732,0.1,133.943,177609,3,4
13,Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0,0.0864,0.454,116.959,233720,3,4
14,Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,1.65e-05,0.0944,0.131,122.769,244360,4,4
15,Tate McRae,all the things i never said,that way,7l97ElWmIdVHWUaOeeU5ZC,0.453,0.383,0,-11.015,1,0.163,0.0,0.387,0.333,105.029,175027,4,4
16,Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),Scott Street,21uFPefbgeR3QLVJWATlrr,0.508,0.417,10,-9.632,1,0.0296,0.0928,0.0887,0.483,134.944,305001,4,4
17,Jess Benko,"Do You Love Me, or Are You Just Lonely?",A Soulmate Who Wasn’t Meant to Be,0gOz9JUXsaKVzLTSmFDtdo,0.571,0.0274,9,-20.274,0,0.0649,6.43e-06,0.322,0.087,124.209,316556,3,4
18,Conan Gray,Kid Krow,Heather,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.0,0.322,0.27,102.078,198040,3,4
19,Luz,we'll be fine,we'll be fine,7KKamdf8oLVz1eFcNRjvnq,0.563,0.382,10,-11.138,1,0.0404,0.0,0.0714,0.197,120.802,262960,4,4
20,Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.44,0.04,3,-16.887,1,0.0322,0.465,0.111,0.249,135.965,193749,4,4
21,d4vd,Romantic Homicide,Romantic Homicide,1xK59OXxi2TAAAbmZK0kBL,0.571,0.544,6,-10.613,1,0.0299,0.00805,0.322,0.216,132.052,132631,4,4
22,Birdy,Birdy,Skinny Love,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.00106,0.118,0.169,166.467,201080,4,4
23,Jessie Murph,drowning,How Could You,7wB9sL81rFRGhRt6msZ9CV,0.573,0.17,11,-10.576,1,0.0555,3.08e-06,0.108,0.28,146.749,187813,3,4
24,Anson Seabra,Peter Pan Was Right,Peter Pan Was Right,2At18rPHOuTEjGEppwGV0A,0.661,0.517,5,-7.74,1,0.0406,0.0,0.116,0.241,84.014,192498,4,4
25,Dylan Conrique,Birthday Cake,Birthday Cake,7dDrR6vMK1JAwZZ5MIWgme,0.436,0.255,3,-8.623,1,0.0364,3.28e-05,0.106,0.15,113.265,205280,4,4
26,Cian Ducrot,I'll Be Waiting (Sad At Christmas),I'll Be Waiting,0JIhRhZPF5j5dx0FGqTWxy,0.509,0.619,1,-4.102,1,0.0391,0.0,0.0739,0.544,155.955,172547,4,4
27,Sam Tompkins,Lose It All,Lose It All,1mBtrVS6hLeqcVecvpAqBJ,0.45,0.33,11,-8.481,1,0.0295,0.0042,0.108,0.174,86.788,205493,3,4
28,Sabrina Carpenter,emails i can't send,emails i can’t send,2qLyo5FeWquE7HBUbcVnEy,0.515,0.387,7,-10.614,1,0.192,0.0,0.622,0.408,86.313,104408,3,4
29,Freya Ridings,Face in the Crowd,Face in the Crowd,0V9QY6NnXtAMwjltgMP0pl,0.445,0.232,1,-9.145,1,0.0294,3.31e-06,0.128,0.246,72.005,204503,4,4
30,Coldplay,Parachutes,Sparks,7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,1,-10.506,1,0.0281,0.0517,0.104,0.165,102.617,227093,3,4
31,Zeph,scared of everything,could you love me while i hate myself,7uo2L5FAja3pWIBa3HJVeC,0.68,0.406,9,-11.313,1,0.0414,0.00019,0.11,0.551,119.901,60333,4,4
32,Mimi Webb,Goodbye,Goodbye,5b6enCVP67LsqqrfTs6rxr,0.5,0.373,0,-6.191,1,0.0335,0.0,0.137,0.158,118.943,184167,4,4
33,Cat Burns,emotionally unavailable,we're not kids anymore,43ZTfozcXRTukqENA3TXqe,0.816,0.213,6,-12.952,0,0.0529,4.02e-06,0.0916,0.323,121.916,182958,4,4
34,Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.0,0.133,0.13,141.981,224695,4,4
35,Dermot Kennedy,Something to Someone,Something to Someone - Piano,5LMMHLhxyicdWm3uEdbNrV,0.416,0.436,0,-5.878,1,0.035,0.0,0.075,0.179,99.41,183789,3,4
36,Bradley Marshall,Hurts The Most,Hurts The Most,6SO2o0mJhtbsfwdwJfXKkk,0.443,0.409,11,-9.006,1,0.0335,0.0,0.107,0.592,84.388,202643,4,4
37,Jessica Baio,trust issues,trust issues,5jQVx40dbpDsstcwlhpk9u,0.587,0.453,9,-9.357,1,0.129,0.00205,0.0812,0.352,161.146,134263,4,4
38,Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,0.56,0.473,5,-7.23,1,0.0533,0.0,0.31,0.441,109.414,175345,4,4
39,Haley Joelle,Two Places at Once (Part I),Two Places at Once,0l8p1TkaVgcwIUS0xwm6Y5,0.497,0.278,2,-9.959,1,0.0464,0.0,0.308,0.237,104.84,199395,5,4
40,Sigrid,Bad Life (acoustic),Bad Life - acoustic,5DwJKJ3Gg5UlzsTMpYXkwT,0.542,0.358,4,-8.641,1,0.0544,0.0,0.369,0.434,189.826,220240,4,4
41,Katie Gregson-MacLeod,complex (demo),complex (demo),1ovZe7upcqycTuPFfOg6kB,0.384,0.167,0,-9.92,1,0.0375,0.0,0.118,0.258,95.102,256108,4,4
